sensor,records,elapsed,unix_oldest,unix_newest,oldest,newest,minimum,maximum,min2,max2,min3,max3,
stream0,,,,,,,,,0,1,,,
stream1,,,,,,,,,0,1,,,
stream2,,,,,,,,,0,1,,,
stream3,,,,,,,,,0,1,,,
stream4,,,,,,,,,0,1,,,
stream5,,,,,,,,,0,1,,,
stream6,,,,,,,,,0,1,,,
stream7,,,,,,,,,0,1,,,
stream8,,,,,,,,,0,1,,,
stream9,,,,,,,,,0,1,,,
fstream0,,,,,,,,,0,1024,,,
fstream1,,,,,,,,,0,1024,,,
fstream2,,,,,,,,,0,1024,,,
fstream3,,,,,,,,,0,1024,,,
fstream4,,,,,,,,,0,1024,,,
fstream5,,,,,,,,,0,1024,,,
fstream6,,,,,,,,,0,1024,,,
fstream7,,,,,,,,,0,1024,,,
fstream8,,,,,,,,,0,1024,,,
fstream9,,,,,,,,,0,1024,,,
