unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
53,0,0,0,0.004150634116087115,0.005868397866341517,0.007105091242678364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0.3546646525071352,2.1704621425337463,1.3459843262102271,0.13299593043210195,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0.9803921568627451,0.3804213135068153,3.8624137579078903,0.8581974739221772,0.00804081652015536,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0.3804213135068153,3.165187210422922,0.4532298374365531,0.7331114118634519,0.48422712933753936,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0.4842271293375395,0.7342271293375395,3.2415748335996697,2.1083372277701633,0.007886948385163564,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0.01577287066246057,0.01577287066246057,3.5401001311208886,2.3710841708504167,0.0009768927034389256,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0.4842271293375395,1.6395187838269984,1.3894777883869804,0.009037164838687613,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,3.534095448234041,1.2888866472684335,0.13624890312444415,0.009803921568627453,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0.25,2.827329497890968,1.0303505804151807,0.5115074706830343,0.507340624692088,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,2.9483606290240925,0.6285832408103689,0.3384053665148487,0.19021065675340765,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4700688418098924,0.22049015192078675,0.18676237985156344,0,0,0,0
